loc_x,loc_y,seconds_remaining,shot_distance,shot_made_flag,shot_zone_range,shot_zone,shot_zone2,hot_hand,hot_hand_ind
-157,0,22,15,0,8-16 ft.,4,1200,nil,2
0,0,19,0,1,Less Than 8 ft.,2,600,nil,2
-145,-11,32,14,0,8-16 ft.,4,1200,heat,3
0,0,52,0,1,Less Than 8 ft.,2,600,nil,2
-65,108,12,12,1,8-16 ft.,4,1200,heat,3
-94,238,56,25,0,24+ ft.,8,5000,nil,2
121,127,0,17,1,16-24 ft.,6,2500,heat,3
-67,110,9,12,1,8-16 ft.,4,1200,heat,3
-94,4,44,9,0,8-16 ft.,4,1200,heat,3
62,192,48,20,0,16-24 ft.,6,2500,nil,2
-117,226,50,25,1,24+ ft.,8,5000,nil,2
-132,97,29,16,0,16-24 ft.,6,2500,nil,2
3,144,8,14,0,8-16 ft.,4,1200,heat,3
134,127,4,18,0,16-24 ft.,6,2500,nil,2
-16,110,57,11,1,8-16 ft.,4,1200,nil,2
-109,150,47,18,1,16-24 ft.,6,2500,nil,2
-58,196,4,20,0,16-24 ft.,6,2500,nil,2
-183,186,30,26,0,24+ ft.,8,5000,heat,3
121,4,20,12,1,8-16 ft.,4,1200,nil,2
127,34,30,13,0,8-16 ft.,4,1200,nil,2
91,184,30,20,1,16-24 ft.,6,2500,nil,2
-27,272,4,27,1,24+ ft.,8,5000,nil,2
-176,66,12,18,0,16-24 ft.,6,2500,heat,3
150,133,59,20,1,16-24 ft.,6,2500,heat,3
49,15,29,5,0,Less Than 8 ft.,2,600,hot hand,6
-4,4,21,0,1,Less Than 8 ft.,2,600,nil,2
121,120,55,17,1,16-24 ft.,6,2500,nil,2
-12,9,6,1,0,Less Than 8 ft.,2,600,nil,2
-155,194,33,24,0,24+ ft.,8,5000,nil,2
1,228,26,22,1,16-24 ft.,6,2500,nil,2
0,0,40,0,1,Less Than 8 ft.,2,600,heat,3
0,0,5,0,1,Less Than 8 ft.,2,600,nil,2
22,49,47,5,1,Less Than 8 ft.,2,600,heat,3
56,21,37,5,0,Less Than 8 ft.,2,600,heat,3
121,26,1,12,1,8-16 ft.,4,1200,heat,3
0,0,53,0,1,Less Than 8 ft.,2,600,heat,3
7,257,11,25,1,24+ ft.,8,5000,heat,3
0,0,56,0,1,Less Than 8 ft.,2,600,heat,3
51,57,40,7,0,Less Than 8 ft.,2,600,heat,3
-119,190,2,22,1,16-24 ft.,6,2500,heat,3
16,57,10,5,0,Less Than 8 ft.,2,600,nil,2
-84,110,24,13,0,8-16 ft.,4,1200,heat,3
1,156,46,15,0,8-16 ft.,4,1200,heat,3
132,211,41,24,0,24+ ft.,8,5000,nil,2
-8,4,59,0,0,Less Than 8 ft.,2,600,nil,2
-29,188,54,19,1,16-24 ft.,6,2500,heat,3
-1,156,25,15,1,8-16 ft.,4,1200,nil,2
-151,4,47,15,1,8-16 ft.,4,1200,heat,3
110,76,57,13,0,8-16 ft.,4,1200,heat,3
132,87,37,15,0,8-16 ft.,4,1200,heat,3
-58,251,50,25,1,24+ ft.,8,5000,nil,2
-193,150,53,24,0,24+ ft.,8,5000,nil,2
140,0,48,14,1,8-16 ft.,4,1200,nil,2
39,9,26,4,0,Less Than 8 ft.,2,600,nil,2
24,150,20,15,0,8-16 ft.,4,1200,nil,2
-1,0,53,0,1,Less Than 8 ft.,2,600,nil,2
119,133,40,17,1,16-24 ft.,6,2500,heat,3
119,19,0,12,0,8-16 ft.,4,1200,heat,3
-193,42,48,19,0,16-24 ft.,6,2500,hot hand,6
-166,55,21,17,0,16-24 ft.,6,2500,hot hand,6
-65,156,8,16,0,16-24 ft.,6,2500,nil,2
-166,26,25,16,1,16-24 ft.,6,2500,heat,3
-58,76,14,9,0,8-16 ft.,4,1200,nil,2
-37,70,38,7,0,Less Than 8 ft.,2,600,nil,2
-94,188,9,21,0,16-24 ft.,6,2500,heat,3
0,0,17,0,0,Less Than 8 ft.,2,600,heat,3
0,0,23,0,0,Less Than 8 ft.,2,600,nil,2
0,0,21,0,0,Less Than 8 ft.,2,600,nil,2
0,0,2,0,1,Less Than 8 ft.,2,600,heat,3
0,0,44,0,1,Less Than 8 ft.,2,600,heat,3
85,141,21,16,0,16-24 ft.,6,2500,heat,3
-88,158,50,18,1,16-24 ft.,6,2500,heat,3
0,0,18,0,1,Less Than 8 ft.,2,600,heat,3
0,0,30,0,1,Less Than 8 ft.,2,600,nil,2
1,276,4,27,1,24+ ft.,8,5000,nil,2
-155,13,18,15,1,8-16 ft.,4,1200,heat,3
-178,-8,51,17,0,16-24 ft.,6,2500,nil,2
16,89,40,9,0,8-16 ft.,4,1200,nil,2
-48,106,33,11,1,8-16 ft.,4,1200,nil,2
-170,13,5,17,0,16-24 ft.,6,2500,nil,2
-119,133,14,17,0,16-24 ft.,6,2500,heat,3
-84,82,34,11,0,8-16 ft.,4,1200,nil,2
0,0,28,0,1,Less Than 8 ft.,2,600,nil,2
9,59,38,5,1,Less Than 8 ft.,2,600,nil,2
0,0,3,0,0,Less Than 8 ft.,2,600,nil,2
0,0,8,0,1,Less Than 8 ft.,2,600,nil,2
129,-4,25,12,1,8-16 ft.,4,1200,heat,3
-98,97,48,13,1,8-16 ft.,4,1200,heat,3
167,78,16,18,0,16-24 ft.,6,2500,hot hand,6
108,249,19,27,0,24+ ft.,8,5000,heat,3
100,175,7,20,1,16-24 ft.,6,2500,fire,10
0,0,28,0,0,Less Than 8 ft.,2,600,fire,10
1,72,23,7,0,Less Than 8 ft.,2,600,nil,2
113,230,43,25,1,24+ ft.,8,5000,nil,2
0,0,11,0,1,Less Than 8 ft.,2,600,nil,2
0,0,37,0,0,Less Than 8 ft.,2,600,heat,3
98,194,42,21,1,16-24 ft.,6,2500,heat,3
-168,-2,53,16,0,16-24 ft.,6,2500,nil,2
70,36,16,7,0,Less Than 8 ft.,2,600,heat,3
0,0,43,0,0,Less Than 8 ft.,2,600,nil,2
-37,42,47,5,1,Less Than 8 ft.,2,600,nil,2
163,116,5,20,0,16-24 ft.,6,2500,heat,3
113,179,13,21,1,16-24 ft.,6,2500,heat,3
169,-2,27,16,1,16-24 ft.,6,2500,heat,3
91,156,52,18,0,16-24 ft.,6,2500,nil,2
134,93,19,16,0,16-24 ft.,6,2500,nil,2
47,477,0,47,0,Back Court Shot,10,8000,nil,2
11,137,52,13,0,8-16 ft.,4,1200,nil,2
77,236,1,24,0,24+ ft.,8,5000,nil,2
11,247,18,24,0,24+ ft.,8,5000,heat,3
-103,230,43,25,0,24+ ft.,8,5000,nil,2
-31,247,2,24,1,24+ ft.,8,5000,nil,2
-10,99,5,9,1,8-16 ft.,4,1200,nil,2
-73,200,24,21,1,16-24 ft.,6,2500,nil,2
188,177,7,25,0,24+ ft.,8,5000,nil,2
0,0,15,0,0,Less Than 8 ft.,2,600,nil,2
-128,137,22,18,0,16-24 ft.,6,2500,nil,2
0,0,9,0,1,Less Than 8 ft.,2,600,heat,3
1,93,19,9,0,8-16 ft.,4,1200,heat,3
115,160,51,19,1,16-24 ft.,6,2500,nil,2
159,200,11,25,1,24+ ft.,8,5000,heat,3
167,0,21,16,0,16-24 ft.,6,2500,heat,3
-162,245,17,29,0,24+ ft.,8,5000,heat,3
167,-6,35,16,0,16-24 ft.,6,2500,heat,3
-4,150,24,15,1,8-16 ft.,4,1200,heat,3
-185,9,1,18,1,16-24 ft.,6,2500,heat,3
237,19,21,23,1,24+ ft.,8,5000,heat,3
0,0,10,0,0,Less Than 8 ft.,2,600,heat,3
0,0,10,0,1,Less Than 8 ft.,2,600,nil,2
37,82,18,8,1,8-16 ft.,4,1200,nil,2
-42,87,46,9,0,8-16 ft.,4,1200,nil,2
28,247,3,24,0,24+ ft.,8,5000,heat,3
0,0,10,0,1,Less Than 8 ft.,2,600,heat,3
0,0,13,0,0,Less Than 8 ft.,2,600,nil,2
0,0,24,0,1,Less Than 8 ft.,2,600,nil,2
115,135,3,17,0,16-24 ft.,6,2500,nil,2
0,0,24,0,1,Less Than 8 ft.,2,600,nil,2
0,0,19,0,1,Less Than 8 ft.,2,600,nil,2
79,163,45,18,0,16-24 ft.,6,2500,heat,3
142,141,22,20,1,16-24 ft.,6,2500,heat,3
-60,97,55,11,1,8-16 ft.,4,1200,heat,3
0,0,34,0,0,Less Than 8 ft.,2,600,nil,2
115,245,13,27,0,24+ ft.,8,5000,nil,2
-132,184,52,22,0,16-24 ft.,6,2500,nil,2
0,0,12,0,0,Less Than 8 ft.,2,600,heat,3
0,0,8,0,0,Less Than 8 ft.,2,600,heat,3
-25,76,20,8,1,8-16 ft.,4,1200,hot hand,6
-145,108,37,18,0,16-24 ft.,6,2500,nil,2
-208,-29,31,21,0,16-24 ft.,6,2500,nil,2
-105,148,5,18,1,16-24 ft.,6,2500,nil,2
-48,175,0,18,0,16-24 ft.,6,2500,heat,3
0,0,36,0,1,Less Than 8 ft.,2,600,heat,3
0,0,20,0,0,Less Than 8 ft.,2,600,heat,3
0,0,8,0,1,Less Than 8 ft.,2,600,nil,2
142,226,43,26,1,24+ ft.,8,5000,nil,2
0,0,17,0,1,Less Than 8 ft.,2,600,nil,2
0,0,34,0,1,Less Than 8 ft.,2,600,nil,2
0,0,52,0,1,Less Than 8 ft.,2,600,nil,2
115,236,31,26,1,24+ ft.,8,5000,nil,2
163,7,20,16,0,16-24 ft.,6,2500,heat,3
0,0,0,0,1,Less Than 8 ft.,2,600,heat,3
0,0,26,0,1,Less Than 8 ft.,2,600,hot hand,6
-105,-2,33,10,1,8-16 ft.,4,1200,heat,3
64,95,56,11,1,8-16 ft.,4,1200,nil,2
73,17,53,7,0,Less Than 8 ft.,2,600,nil,2
0,0,45,0,1,Less Than 8 ft.,2,600,nil,2
-132,154,24,20,0,16-24 ft.,6,2500,nil,2
235,23,42,23,0,24+ ft.,8,5000,nil,2
28,175,21,17,1,16-24 ft.,6,2500,nil,2
127,61,50,14,0,8-16 ft.,4,1200,nil,2
28,89,36,9,1,8-16 ft.,4,1200,heat,3
-84,213,30,22,1,16-24 ft.,6,2500,heat,3
-119,144,24,18,1,16-24 ft.,6,2500,nil,2
0,110,25,11,0,8-16 ft.,4,1200,heat,3
0,0,14,0,1,Less Than 8 ft.,2,600,heat,3
127,80,17,15,0,8-16 ft.,4,1200,nil,2
77,141,18,16,1,16-24 ft.,6,2500,nil,2
-6,70,35,7,1,Less Than 8 ft.,2,600,nil,2
0,0,8,0,1,Less Than 8 ft.,2,600,nil,2
0,0,39,0,1,Less Than 8 ft.,2,600,nil,2
144,215,36,25,1,24+ ft.,8,5000,nil,2
-63,177,24,18,0,16-24 ft.,6,2500,nil,2
-48,78,53,9,1,8-16 ft.,4,1200,nil,2
153,198,42,25,0,24+ ft.,8,5000,nil,2
-56,21,15,5,1,Less Than 8 ft.,2,600,heat,3
201,11,7,20,1,16-24 ft.,6,2500,heat,3
243,34,42,24,1,24+ ft.,8,5000,nil,2
123,232,0,26,1,24+ ft.,8,5000,heat,3
-157,137,30,20,1,16-24 ft.,6,2500,nil,2
138,110,8,17,0,16-24 ft.,6,2500,nil,2
102,137,40,17,0,16-24 ft.,6,2500,nil,2
186,17,47,18,0,16-24 ft.,6,2500,nil,2
0,0,54,0,1,Less Than 8 ft.,2,600,nil,2
142,245,22,28,0,24+ ft.,8,5000,nil,2
-33,70,52,7,0,Less Than 8 ft.,2,600,heat,3
-12,42,48,4,0,Less Than 8 ft.,2,600,heat,3
0,0,3,0,1,Less Than 8 ft.,2,600,nil,2
79,163,18,18,0,16-24 ft.,6,2500,heat,3
-94,0,57,9,0,8-16 ft.,4,1200,heat,3
-124,135,19,18,1,16-24 ft.,6,2500,nil,2
0,0,15,0,0,Less Than 8 ft.,2,600,nil,2
108,409,0,42,0,Back Court Shot,10,8000,nil,2
-67,135,32,15,0,8-16 ft.,4,1200,nil,2
-160,224,6,27,1,24+ ft.,8,5000,heat,3
-134,9,59,13,1,8-16 ft.,4,1200,heat,3
-101,116,10,15,0,8-16 ft.,4,1200,hot hand,6
-29,19,48,3,1,Less Than 8 ft.,2,600,heat,3
-50,245,24,25,0,24+ ft.,8,5000,nil,2
-150,466,0,48,0,Back Court Shot,10,8000,heat,3
-35,19,0,3,0,Less Than 8 ft.,2,600,heat,3
-35,19,54,3,0,Less Than 8 ft.,2,600,heat,3
0,0,37,0,1,Less Than 8 ft.,2,600,heat,3
60,177,45,18,1,16-24 ft.,6,2500,nil,2
0,0,28,0,1,Less Than 8 ft.,2,600,nil,2
-86,253,34,26,0,24+ ft.,8,5000,nil,2
-86,165,30,18,1,16-24 ft.,6,2500,heat,3
-79,28,50,8,0,8-16 ft.,4,1200,nil,2
0,0,4,0,1,Less Than 8 ft.,2,600,heat,3
18,144,33,14,0,8-16 ft.,4,1200,nil,2
123,55,0,13,0,8-16 ft.,4,1200,nil,2
0,0,7,0,0,Less Than 8 ft.,2,600,heat,3
-170,-15,40,17,0,16-24 ft.,6,2500,heat,3
159,116,14,19,1,16-24 ft.,6,2500,nil,2
32,148,35,15,1,8-16 ft.,4,1200,heat,3
5,198,10,19,0,16-24 ft.,6,2500,nil,2
-149,247,27,28,0,24+ ft.,8,5000,heat,3
0,0,59,0,1,Less Than 8 ft.,2,600,nil,2
-79,133,41,15,1,8-16 ft.,4,1200,nil,2
-23,40,8,4,0,Less Than 8 ft.,2,600,nil,2
66,154,37,16,1,16-24 ft.,6,2500,nil,2
0,0,0,0,1,Less Than 8 ft.,2,600,nil,2
-58,68,42,8,1,8-16 ft.,4,1200,nil,2
60,61,7,8,1,8-16 ft.,4,1200,heat,3
-50,17,49,5,0,Less Than 8 ft.,2,600,nil,2
18,209,0,20,0,16-24 ft.,6,2500,nil,2
-136,160,51,20,1,16-24 ft.,6,2500,nil,2
60,127,26,14,1,8-16 ft.,4,1200,nil,2
87,133,11,15,0,8-16 ft.,4,1200,nil,2
39,82,34,9,1,8-16 ft.,4,1200,heat,3
-149,2,46,14,0,8-16 ft.,4,1200,nil,2
110,243,26,26,1,24+ ft.,8,5000,heat,3
110,13,29,11,1,8-16 ft.,4,1200,heat,3
11,82,57,8,0,8-16 ft.,4,1200,hot hand,6
-16,55,53,5,0,Less Than 8 ft.,2,600,heat,3
237,2,48,23,0,24+ ft.,8,5000,fire,10
11,198,18,19,0,16-24 ft.,6,2500,fire,10
0,0,10,0,0,Less Than 8 ft.,2,600,fire,10
11,89,25,8,1,8-16 ft.,4,1200,fire,10
18,160,0,16,0,16-24 ft.,6,2500,fire,10
0,0,32,0,1,Less Than 8 ft.,2,600,nil,2
-98,285,17,30,0,24+ ft.,8,5000,nil,2
-157,45,12,16,1,16-24 ft.,6,2500,nil,2
-149,28,25,15,0,8-16 ft.,4,1200,heat,3
138,13,17,13,0,8-16 ft.,4,1200,heat,3
0,0,0,0,1,Less Than 8 ft.,2,600,nil,2
0,0,35,0,1,Less Than 8 ft.,2,600,heat,3
-115,110,31,15,1,8-16 ft.,4,1200,heat,3
0,0,57,0,1,Less Than 8 ft.,2,600,heat,3
81,133,48,15,1,8-16 ft.,4,1200,heat,3
138,110,33,17,0,16-24 ft.,6,2500,heat,3
231,394,0,45,0,24+ ft.,8,5000,heat,3
5,205,21,20,0,16-24 ft.,6,2500,nil,2
-44,148,41,15,0,8-16 ft.,4,1200,heat,3
123,89,6,15,1,8-16 ft.,4,1200,heat,3
-92,127,48,15,0,8-16 ft.,4,1200,nil,2
0,0,23,0,1,Less Than 8 ft.,2,600,heat,3
32,257,40,25,0,24+ ft.,8,5000,heat,3
33,78,34,8,0,8-16 ft.,4,1200,nil,2
